climbRate,Sgz,p,q,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SaTime1,SaTime2,SaTime3,SaTime4,diffSaTime1,diffSaTime2,diffSaTime3,diffSaTime4,Sa,Y
118,-55,-0.28,-0.08,-0.2,-11,11,0.005,-0.2,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,-1
390,-45,-0.06,-0.07,-0.6,-12,11,0.01,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,-1
68,6,0.11,0.15,0.6,-10,-9,-0.003,-0.2,-0.0011,-0.001,-0.001,-0.001,-0.0002,0,0,0,-0.001,-1
-358,-12,-0.2,0.13,-0.3,-11,-7,0.001,-0.1,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,-1
-411,-19,-0.18,0.02,-0.5,-11,-3,0.002,1.2,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,-1
-374,-29,-0.14,0.03,-0.8,-12,5,0.003,-0.3,-0.0008,-0.001,-0.001,-0.001,0.0001,0,0,0,-0.001,-1
-11,-43,0.34,-0.05,-0.4,-11,9,0.01,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,-0.0002,0,0,0,-0.0007,-1
224,5,-0.35,0.06,-1.2,-12,1,0.01,0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,-1
-120,13,0.29,0.15,-1.4,-12,-9,0.008,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,-1
-335,-3,0.27,0.13,-0.1,-11,-8,-0.009,-0.2,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,-1
-237,-32,-0.15,0.03,0.3,-11,2,-0.007,-0.1,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,-1
-104,-60,0.3,0.09,0.8,-10,-4,-0.007,-0.2,-0.0009,-0.0009,-0.0009,-0.0009,0,0,-0.0002,0,-0.0009,-1
-165,-63,0.16,0.1,1,-10,-7,-0.014,-0.1,-0.001,-0.001,-0.001,-0.001,0,0,0,0,-0.001,-1
108,-70,-0.4,0.01,-0.6,-11,6,0.003,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0.0001,0,-0.0008,-1
51,-52,0.18,0.1,-1.5,-12,-4,0.004,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,-1
-43,-52,0.19,0.18,-1.2,-12,-13,-0.005,-0.3,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,-1
-368,-71,0.03,0.12,-0.8,-12,-7,-0.002,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
58,-85,0.13,-0.11,-0.5,-11,17,0.003,-0.3,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0,0,0,-0.0007,-1
376,-73,0.01,-0.04,-0.3,-11,8,-0.006,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,-1
501,-41,-0.19,0.04,-0.7,-12,1,-0.005,-0.1,-0.0008,-0.0008,-0.0008,-0.0009,0,0,0.0001,0,-0.0009,-1
556,-25,-0.08,0.03,-0.9,-12,4,0.009,-0.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,-1
-131,12,0.06,0.19,0.1,-11,-15,-0.01,-0.2,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,-1
-275,2,-0.13,0.07,0,-11,-4,-0.008,0.2,-0.0008,-0.0008,-0.0008,-0.0009,0,0,0.0001,0,-0.0009,-1
-130,-15,-0.2,0.02,-0.9,-12,4,-0.001,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
199,-14,0.04,-0.04,-1.2,-12,10,0.007,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,-1
93,7,0.25,0.09,0,-11,-5,0.001,-0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0,0,0,-0.0007,-1
-31,9,0.13,0.11,0.4,-11,-7,-0.008,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,1
-26,7,0.03,0.02,0.6,-10,8,-0.007,-0.9,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,-1
-128,5,-0.17,0.13,0.4,-11,-9,-0.01,-0.4,-0.0008,-0.0009,-0.0009,-0.0009,0.0001,0,0,0,-0.0009,1
